Time,Frequency
(s),(1/s)
30.011249, 32.907740000000004
60.022066, 32.00938
90.048899, 31.1449
120.059734, 30.31626
150.070813, 29.512459999999997
180.081967, 28.734280000000002
210.093171, 27.984880000000004
240.104412, 27.26162
270.131842, 26.559019999999997
300.159732, 25.87722
330.186716, 25.218399999999995
360.230212, 24.5768
390.273794, 23.95458
420.2856, 23.3514
450.297376, 22.765340000000002
480.341272, 22.19026
510.369367, 21.62892
540.381501, 21.08244
570.409632, 20.54672
600.437879, 20.0269
630.482234, 19.5151
660.494485, 19.014
690.53883, 18.524279999999997
720.567323, 18.044259999999998
750.607581, 17.57078
780.661381, 17.1022
810.700491, 16.64472
840.724936, 16.19466
870.765322, 15.752199999999998
900.774765, 15.31712
930.832636, 14.88628
960.890858, 14.461400000000001
990.917597, 14.0429
1020.992594, 13.625620000000001
1051.020142, 13.21448
1081.078937, 12.807120000000001
1111.154316, 12.4024
1141.229971, 12.0012
1171.305554, 11.60578
1201.381208, 11.2127
1231.425019, 10.82438
1261.437287, 10.43508
1291.513054, 10.04548
1321.573059, 9.65794
1351.584822, 9.27684
1381.628829, 8.89516
1411.736685, 8.51764
1441.764728, 8.139619999999999
1471.824756, 7.7677
1501.916808, 7.39466
1532.02487, 7.024240000000001
1562.164995, 6.654979999999999
1592.320852, 6.28558
1622.492988, 5.92214
1652.649148, 5.55734
1682.821166, 5.1935400000000005
1712.96076, 4.836139999999999
1743.036929, 4.48538
1773.224783, 4.13888
1803.269124, 3.7975599999999994
1833.377162, 3.46094
1863.525252, 3.12058
1893.59339, 2.8015999999999996
1924.005379, 2.48298
1954.193065, 2.17616
1984.466275, 1.88036
2014.734606, 1.58228
2045.146073, 1.28152
2075.259837, 0.99046
